PLANO,MES,ANO,1.00.00.00.00.00.00.00,2.01.00.00.00.00.00.00,2.02.00.00.00.00.00.00,2.03.00.00.00.00.00.00,2.03.01.00.00.00.00.00,2.03.01.01.00.00.00.00,2.03.01.01.01.00.00.00,2.03.01.01.01.01.00.00,2.03.01.01.01.02.00.00,2.03.01.01.02.00.00.00,2.03.01.01.02.01.00.00,2.03.01.01.02.02.00.00,2.03.01.01.02.03.00.00,2.03.01.01.03.00.00.00,2.03.02.01.00.00.00.00,3.01.00.00.00.00.00.00,3.02.00.00.00.00.00.00,3.05.00.00.00.00.00.00,solvencia_seca,solvencia_gerencial,solvencia_liquida,resultado_operacional,maturiade_atuarial,solvencia_financeira,risco_legal,provisoes_cd,passivo_integralizar,provisoes_bd,resultado,prov_concedidos_cd,prov_conceder_cd,prov_concedidos_bd,prov_conceder_bd,COMPETENCIA
ConabPrev Submassa 1,6,2022,852063662.7,4893408.25,0.0,847170254.45,816723322.79,816723322.79,292462495.92,292462495.92,0.0,524260826.87,524260826.87,0.0,0.0,0.0,19814267.6,35425891.01,44716511.32,20984160.01,1.0242606854085086,1.0,1.0,0.7922328903631474,1.792574549501916,1.2615038462262578,0.0,1.0,0.0,0.0,0.0,292462495.92,524260826.87,0.0,0.0,2022-06-01
ConabPrev Submassa 1,6,2023,899470703.15,4094361.01,0.0,895376342.14,862490163.15,862490163.15,288126866.87,288126866.87,0.0,574363296.28,574363296.28,0.0,0.0,0.0,21908071.26,29662478.57,16298911.36,31736134.35,1.025400952029397,1.0,1.0,1.819905508707546,1.9934388712842492,3.7670376606060643,0.0,1.0,0.0,0.0,0.0,288126866.87,574363296.28,0.0,0.0,2023-06-01
ConabPrev Submassa 1,7,2021,827859844.67,5438931.34,0.0,822420913.33,794571535.2,794571535.2,258873502.0,258873502.0,0.0,535698033.2,535698033.2,0.0,0.0,0.0,17841370.26,35084350.12,29797959.46,14396257.7,1.022454076781783,1.0,1.0,1.1774078076418726,2.0693428607459405,1.6605367856286086,0.0,1.0,0.0,0.0,0.0,258873502.0,535698033.2,0.0,0.0,2021-07-01
ConabPrev Submassa 1,7,2022,857375716.27,5586629.65,0.0,851789086.62,821128371.27,821128371.27,293342627.25,293342627.25,0.0,527785744.02,527785744.02,0.0,0.0,0.0,20002876.86,40149450.62,48593246.79,24730993.61,1.0243602310672355,1.0,1.0,0.8262351925877558,1.7992125759826814,1.3351740934370275,0.0,1.0,0.0,0.0,0.0,293342627.25,527785744.02,0.0,0.0,2022-07-01
ConabPrev Submassa 1,8,2021,827741426.99,5529705.59,0.0,822211721.4,794351490.03,794351490.03,256615978.1,256615978.1,0.0,537735511.93,537735511.93,0.0,0.0,0.0,17883244.29,41105864.04,32899265.36,11297878.54,1.022513011575423,1.0,1.0,1.2494462593677806,2.0954872565279286,1.5928544910219844,0.0,1.0,0.0,0.0,0.0,256615978.1,537735511.93,0.0,0.0,2021-08-01
ConabPrev Submassa 1,8,2022,859961861.76,4664648.51,0.0,855297213.25,824436572.23,824436572.23,296506989.87,296506989.87,0.0,527929582.36,527929582.36,0.0,0.0,0.0,20112327.59,40129011.22,50803537.5,30379375.41,1.0243952394489229,1.0,1.0,0.7898861613721289,1.7804962459450433,1.3878637216945768,0.0,1.0,0.0,0.0,0.0,296506989.87,527929582.36,0.0,0.0,2022-08-01
ConabPrev Submassa 1,9,2021,828709741.62,5738602.16,0.0,822971139.46,794999776.62,794999776.62,254648639.17,254648639.17,0.0,540351137.45,540351137.45,0.0,0.0,0.0,17944531.26,46642180.17,35975835.09,9547705.7,1.0225717437761963,1.0,1.0,1.2964863790740708,2.121947869861849,1.5618785701410662,0.0,1.0,0.0,0.0,0.0,254648639.17,540351137.45,0.0,0.0,2021-09-01
ConabPrev Submassa 1,9,2022,860154856.3,4828805.0,0.0,855326051.3,824318813.42,824318813.42,298128642.08,298128642.08,0.0,526190171.34,526190171.34,0.0,0.0,0.0,20150996.55,41227826.1,53391778.17,31789711.35,1.0244456346524422,1.0,1.0,0.7721755579806717,1.7649769162360518,1.3675801771859213,0.0,1.0,0.0,0.0,0.0,298128642.08,526190171.34,0.0,0.0,2022-09-01
ConabPrev Submassa 1,9,2023,904563110.89,4862673.82,0.0,899700437.07,866535414.58,866535414.58,287901872.47,287901872.47,0.0,578633542.11,578633542.11,0.0,0.0,0.0,22128626.83,37161806.42,24077104.16,36280806.3,1.0255368983860003,1.0,1.0,1.5434500001764333,2.009829033572176,3.0503092162558474,0.0,1.0,0.0,0.0,0.0,287901872.47,578633542.11,0.0,0.0,2023-09-01
ConabPrev Submassa 1,10,2021,824911573.07,6541572.82,0.0,818370000.25,790535931.0,790535931.0,250645542.9,250645542.9,0.0,539890388.1,539890388.1,0.0,0.0,0.0,17903986.01,53366715.48,39668750.57,2011695.0,1.022647909232098,1.0,1.0,1.3453087055471633,2.15399955592029,1.3960210413554246,0.0,1.0,0.0,0.0,0.0,250645542.9,539890388.1,0.0,0.0,2021-10-01
ConabPrev Submassa 1,10,2022,864624892.52,5633972.17,0.0,858990920.35,827690524.01,827690524.01,298398367.82,298398367.82,0.0,529292156.19,529292156.19,0.0,0.0,0.0,20315537.83,42289153.64,57318411.75,38191269.26,1.0245448476703287,1.0,1.0,0.7377935352509135,1.773776981612982,1.4040937360760002,0.0,1.0,0.0,0.0,0.0,298398367.82,529292156.19,0.0,0.0,2022-10-01
